Name,Category,Area,Organisation,Temporal event,Sub category,Summary,Adress,y,x,Website,Performance pop up_valuable,Performance pop up_threatened,Performance pop up_community,Creative edin pop up_valuable,Creative edin pop up_threatened,Creative edin pop up_community,Sculpture workshop pop up_valuable,Sculpture workshop pop up_risk,Sculpture workshop pop up_vcommunity,W1_T1_valuable,W1_T1_risk,W1_T1_community,W1_T2_valuable,W1_T2_risk,W1_T2_community,W1_T3_valuable,W1_T3_risk,W1_T3_community,W1_T4_valuable,W1_T4_risk,W1_T4_community,W2_T1_valuable,W2_T1_risk,W2_T1_community,W2_T2_valuable,W2_T2_risk,W2_T2_community,W3_valuable,W3_risk,W3_community,Pop uo_NEA_value,Pop uo_NEA_risk,Pop uo_NEA_community,Sum,Value,Risk,Community
6VT - Youth Café,Charity,,,,Young people,"To deliver holistic quality services to Edinburgh’s young people including the highest risk and most marginalised individuals, services that are empowering and motivate positive change in their lives.","11-15 Vennel, Edinburgh EH1 2HU",55.946312,-3.197335,https://www.6vt.info/home,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Art in Healthcare,Charity,Art,Non-profit organisation,,Workshops and artwork rental,,"38 Dalmeny St, Edinburgh EH6 8RG",55.964748,-3.174184,https://www.artinhealthcare.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Bridgend Inspiring Growth,Charity,,Community-based organisation,,Farm house,,"41 Old Dalkeith Rd, Edinburgh EH16 4TE",55.926758,-3.153807,https://www.bridgendfarmhouse.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
Edinburgh Palette,Charity,,,,Studio spaces,,"526 Ferry Road, Edinburgh, EH5 2FF",55.968248,-3.233151,https://www.edinburghpalette.co.uk/places/525-studios/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Eric Liddell Centre,Charity,,,,Community hub,,"15 Morningside Rd, Edinburgh EH10 4DP",55.934055,-3.209773,https://www.ericliddell.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
EVOC,Charity,,,,Voluntary sector,,"525 Ferry Road, Edinburgh, EH5 2FF",55.967942,-3.2331,https://www.evoc.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Garvald Edinburgh,Charity,,,,Learning centre,,"17 Orwell Pl, Edinburgh EH11 2AD",55.942994,-3.218923,http://www.garvaldedinburgh.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LifeCare Edinburgh,Charity,,,,Elderly,,"2 Cheyne St, Edinburgh EH4 1JB",55.958342,-3.212948,https://www.lifecare-edinburgh.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Move on,Charity,,,,homelessness,,"25 Greenside Ln, Edinburgh EH1 3AA",55.957131,-3.185017,https://www.moveon.org.uk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0
Music In Hospitals & Care Scotland,Charity,,,,Workshops,,"10 Forth St, Edinburgh EH1 3LD",55.957864,-3.188025,https://mihc.org.uk/scotland/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0
Pilton Youth & Children's Project,Charity,,,,Young people,,"The Greenhouse, 33 W Pilton Brae, Edinburgh EH4 4BH",55.972915,-3.241923,https://pycp.co.uk/about/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Shakti Womens Aid,Charity,,,,Women,,"Norton Park, 57 Albion Rd, Edinburgh EH7 5QY",55.961259,-3.166566,http://shaktiedinburgh.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
The junction,Charity,,,,Young people,,"82-86 Great Jct St, Edinburgh EH6 5LL",55.971873,-3.173824,http://the-junction.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1
The ripple project,Charity,,community organisation,,Services,"services in our community of Restalrig, Lochend & Craigentinny","198 Restalrig Rd S, Edinburgh EH7 6DZ",55.963797,-3.154023,http://rippleproject.co.uk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
The Royal Society Of Edinburgh,Charity,,,,Educational,,"22-26 George St, Edinburgh EH2 2PQ",55.953493,-3.196553,https://www.rse.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Welcoming Association,Charity,,Community-based organisation,,Newcomers,"Welcoming, equality, respect, creativity and learning.","1, 20 Westfield Ave, Edinburgh EH11 2TT",55.938659,-3.244082,http://www.thewelcoming.org/?doing_wp_cron=1557143787.8706541061401367187500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Upmo,Charity,Performance,,,Learning centre,,"151 London Rd, Edinburgh EH7 6AE","55.955599, -3.152395",,https://www.upmo.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water of Leith Conservation Trust and Visitor Centre,Charity,,,,Heritage and wildlife,"The Water of Leith Conservation Trust works to conserve and enhance the river, its heritage and wildlife: The Trust promotes education and recreation through the, open daily, Visitor Centre, and works with volunteers and community groups to deliver around 140 river clean-ups and habitat improvement tasks annually. Operating since 1988, it was the first river charity to be established in Scotland. Support our work by becoming a member, sending a donation or joining the hundred strong team of volunteers who are involved in projects on the river and in running the Visitor Centre.  ","24 Lanark Rd, Edinburgh EH14 1TQ",55.923548,-3.247903,http://www.waterofleith.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Waverley Care,Charity,,,,Person Centred Care (PCC),,"3 Mansfield Pl, Edinburgh EH3 6NB",55.959414,-3.191244,https://www.caringconversations.scot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3M's Youth Project,Community organisation,,Council,,Youth Centre,,"c/o Tollcross Community Centre, 117 Fountainbridge",55.937607,-3.202816,http://www.joininedinburgh.org/3ms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Balerno Community Centre,Community organisation,,Council,,Community Centre,,7/11 Main Street,55.883898,-3.338458,http://www.joininedinburgh.org/balerno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellfield Community Hall,Community organisation,,,,Community Centre,,"16B Bellfield Street, Portobello, EH15 2BP",55.952432,-3.108314,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Bingham Community Centre,Community organisation,,Council,,Community Centre,,Bingham Avenue,55.939846,-3.122334,http://www.joininedinburgh.org/bingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broomhouse CLD Base,Community organisation,,Council,,Community Learning & Development Office,,"c/o Broomhouse Primary School, Saughton Road",55.928173,-3.273914,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Broughton CLD Base,Community organisation,,Council,,Community Learning & Development Office,,"c/o Broughton High School, 29 East Fettes Avenue",55.961205,-3.221822,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron House Community Education Centre,Community organisation,,Council,,Community Education Centre,,34 Prestonfield Avenue,55.93274053,-3.157393452,http://www.joininedinburgh.org/cameronhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannongate Youth,Community organisation,,,,Youth Centre,,"6 Infirmary St, Edinburgh EH1 1LT",55.94782,-3.185467,http://canongateyouth.org.uk,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,2
Carrickvale Community Centre,Community organisation,,Council,,Community Centre,,2 Saughton Mains Street,55.931192,-3.264498,http://www.joininedinburgh.org/carrickvale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castleview Community Centre,Community organisation,,Council,,Community Centre,,Craigmillar Castle Avenue,55.930986,-3.136404,http://www.joininedinburgh.org/castleview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clovenstone Community Centre,Community organisation,,Council,,Community Centre,,54 Clovenstone Park,55.910993,-3.27295,http://www.joininedinburgh.org/clovenstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colinton Mains Community Centre,Community organisation,,Council,,Community Centre,,Firrhill Loan,55.912363,-3.232138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columcille Centre,Community organisation,,,,Disability services & support organisation,,"2 Newbattle Terrace, Edinburgh EH10 4RT",55.930752,-3.20931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Columcille Centre,Community organisation,Creative activities,Reg charity and social enterprise,,Community Education Centre,"Columcille provides day activities for adults with learning disabilities, both centre based and outreach community projects, and also offers a spacious venue for community hire at evenings and weekends.","2 Newbattle Terrace, EH10 4RT",55.931031,-3.209321,https://www.columcillecentre.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Community Garden,Community organisation,,,,Community Garden,,"N Meadow Walk, Edinburgh EH3 9GE",55.942027,-3.188737,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Costorphine Youth & Community Centre,Community organisation,,,,Youth Centre,,"Corstorphine Hub, 191 St John's Rd, Edinburgh EH12 7SL",55.942889,-3.285277,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigentinny Community Centre,Community organisation,,Council,,Community Centre,,Loaning Road,55.960038,-3.145658,http://www.joininedinburgh.org/craigentinny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigmillar Adventure Project (CAPRO),Community organisation,,Council,,Youth Centre,,"Castlebrae Business Centre, Peffer Place",55.935135,-3.138454,http://www.joininedinburgh.org/capro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigmount CLD Base,Community organisation,,Council,,Community Learning & Development Office,,Craigs Road,55.947439,-3.314224,http://www.joininedinburgh.org/craigmount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr Bell’s,Community organisation,,Charity,,Family Centre,"At Dr Bell’s we offer support and advice for families with young children living in the Leith and surrounding areas.  Some of the ways in which we do this are:
A Crèche for families in Leith and surrounding areas
An award-winning Community Café with free Wi-Fi
Employment advice and access to training and learning opportunities
Cookery Classes
Affordable Room Hire
A Summer Programme for local families
Parent support, counselling, therapeutic play and health and well-being appointments
Volunteering Opportunities","15 Junction Pl, Edinburgh EH6 5JA",55.971606,-3.174935,http://www.drbells.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
Drylaw Young Peoples Centre,Community organisation,,,,Youth Centre,,"Drylaw Childrens Home, 135 Easter Drylaw Dr, Edinburgh EH4 2RX",55.963879,-3.243397,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Duncan Place Community Centre,Community organisation,,Council,,Community Centre,,4 Duncan Place,55.969651,-3.168442,http://www.joininedinburgh.org/duncanplace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East CLD Base,Community organisation,,Council,,Community Learning & Development Office,,"c/o Castleview Primary School, 2d Greendykes Road",55.945774,-3.203349,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fet-Lor Youth Centre,Community organisation,,Council,,Youth Centre,,122 Crewe Road South,55.964954,-3.233525,http://www.joininedinburgh.org/fetlor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fort Community Centre,Community organisation,,Council,,Community Centre,,25 North Fort Street,55.976698,-3.185974,http://www.joininedinburgh.org/fort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilmerton Community Centre,Community organisation,,Council,,Community Centre,,4 Drum Street,55.904715,-3.130945,http://www.joininedinburgh.org/gilmerton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodtrees Centre,Community organisation,,Council,,Community Learning,,Moredunvale Place,55.915037,-3.139515,http://www.joininedinburgh.org/goodtrees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie War Memorial Hall,Community organisation,,Council,,Community Learning,,Gorgie Road,55.936007,-3.241438,http://www.joininedinburgh.org/gorgiemem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gracemouth Youth Centre,Community organisation,,,,Youth Centre,,"47 Gracemount House Dr, Edinburgh EH16 6FH",55.90514,-3.157273,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granton Community Gardeners,Community organisation,,Community owned,,Community Garden,"We are a community group of local residents. We grow food on street corners, encourage gardening, and host meals. How much food could we grow in Granton?",,55.975816,-3.22918,https://www.facebook.com/pg/grantoncommunitygardeners/about/?ref=page_internal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
Granton Youth Centre,Community organisation,,,,Youth Centre,,3-11 W Granton Rd,55.980364,-3.225972,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Grassmarket community centre,Community organisation,,Community,,Community Centre,,"86 Candlemaker Row, Edinburgh EH1 2QA",55.947718,-3.193264,http://grassmarket.org,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
Greyfriars Community Centre,Community organisation,,,,Community Centre,,"44 Christchurch Rd, Ringwood BH24 1DW",50.844844,-1.789059,https://www.greyfriarsringwood.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Inch Community Centre,Community organisation,,Council,,Community Centre,,"Inch House, 225 Gilmerton Rd",55.919881,-3.157392,http://www.joininedinburgh.org/inch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inch Community Education Centre,Community organisation,,,,Community Centre,,"Old Dalkeith Rd, Edinburgh EH16 5UF",55.924912,-3.158916,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Jack Kane Community Centre,Community organisation,,Council,,Community Centre,,208 Niddrie Mains Road,55.93403,-3.11867,http://www.joininedinburgh.org/jackkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniper Green Community Centre,Community organisation,,Council,,Community Centre,,1A Juniper Park Road,55.904814,-3.286344,https://www.joininedinburgh.org/junipergreen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkliston Community Centre,Community organisation,,Council,,Community Centre,,"Queensferry Road, Kirkliston",55.960356,-3.403502,https://www.joininedinburgh.org/kirkliston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leith Community Centre,Community organisation,,Council,,Community Centre,,12a Newkirkgate,55.971567,-3.171302,https://www.joininedinburgh.org/leith,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leith Community Croft,Community organisation,,,,Community Garden,,,55.972509,-3.166187,https://leith-community-crops-in-pots.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Leith Community Crops in Pots,Community organisation,,,,Community Garden,,"Annexe 2, Davidson House, 57 Queen Charlotte St, Edinburgh EH6 7EY",55.973329,-3.166032,https://leith-community-crops-in-pots.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,2,0,2
Light Bulb Arts,Community organisation,Art (participation),Social enterprise,,Community Education Centre,"Light Bulb Arts is an exciting social enterprise idea, exploring what is possible in the field of visual arts when artists and participants create, work and learn together.","86 Causewayside, EH9 1YP",55.937788,-3.181326,https://lightbulbarts.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Magdalene Community Centre,Community organisation,,Council,,Community Centre,,Magdalene Drive,55.94217,-3.109903,http://www.joininedinburgh.org/magdalene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muirhouse Milienium Centre,Community organisation,Multiple,Council,,Community Centre,,"7 Muirhouse Medway, EH4 4RW",55.970208,-3.260665,http://muirhousecommunitycentre.co.uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Nelson Hall Community Centre,Community organisation,,Council,,Community Centre,,5 Spittalfield Crescent,55.941752,-3.178888,http://www.joininedinburgh.org/nelsonhall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Merchiston Club,Community organisation,,,,Community Centre,,"48 Watson Cres, Edinburgh EH11 1EP",55.936954,-3.223106,https://www.northmerchiston.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Northfield/Willowbrae Community Centre,Community organisation,,Council,,Community Centre,,Northfield Road,55.95226,-3.140523,https://www.joininedinburgh.org/northfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwood Community Wing,Community organisation,,Council,,Community Centre,,"Station Road, Ratho Station",55.938807,-3.391718,https://www.joininedinburgh.org/norwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxgangs Neighbourhood Centre,Community organisation,,,Edinburgh Jazz & Blues festival,Neighbourhood Centre,,"71 Firrhill Dr, Edinburgh EH13 9EU",55.911843,-3.223287,https://oxgangsneighbourhoodcentre.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Pentland Community Centre,Community organisation,,Council,,Community Centre,,Oxgangs Brae,55.904872,-3.221765,https://www.joininedinburgh.org/pentland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilmeny Youth Centre,Community organisation,,,,Youth Centre,,"44 Buchanan St, Edinburgh EH6 8RF",55.964711,-3.174946,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Portobello Community Centre,Community organisation,,Council,,Community Centre,,"3 Adelphi Grove, Portobello",55.95391,-3.117133,https://www.joininedinburgh.org/portobello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portobello Community Centre,Community organisation,Multiple,Council,,Community Centre,,"3 Adelphi Grove, EH15 1AP",55.953964,-3.117133,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Rannoch Community Centre,Community organisation,,Council,,Community Centre,,Rannoch Terrace,55.954963,-3.286282,https://www.joininedinburgh.org/rannoch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratho Community Centre,Community organisation,,Council,,Community Centre,,"1 School Wynd, Ratho",55.922282,-3.384237,https://www.joininedinburgh.org/ratho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Braes Community garden,Community organisation,,,,Community Garden,,"29 Redbraes Pl, Edinburgh EH7 4LH",55.969348,-3.189493,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Riddle's Court Community Centre,Community organisation,,Council,,Community Centre,,322 Lawnmarket,55.949087,-3.193571,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Commonwealth Pool,Community organisation,Leisure,Council,,Leisure Centre,,"21 Dalkeith Road, EH16 5BB",55.939398,-3.172365,https://www.edinburghleisure.co.uk/venues/royal-commonwealth-pool/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Royston/Wardieburn Community Centre,Community organisation,,Council,,Community Centre,,Pilton Drive North,55.977413,-3.230894,https://www.joininedinburgh.org/roystonwardieburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
South Bridge Resource Centre,Community organisation,,Council,,Resource Centre,,6 Infirmary Street,55.948073,-3.185254,https://www.joininedinburgh.org/southbridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South House Children & Young Peoples Centre,Community organisation,,,,Youth Centre,,"13 Southhouse Grove, Edinburgh EH17 8EH",55.899516,-3.158117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Queensferry/Rosebery Hall CE Centre,Community organisation,,Council,,Community Education Centre,,"Rosebery Hall, High Street",55.990171,-3.39689,https://www.joininedinburgh.org/southqueensferry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West CLD Office,Community organisation,,Council,,Community Learning & Development Office,,"c/o WHEC, 5 Murrayburn Drive",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southside Community Centre,Community organisation,,Council,,Community Centre,,117 Nicolson Street,55.944341,-3.184038,https://www.joininedinburgh.org/southside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
St Bride's Community Centre,Community organisation,,Council,,Community Centre,,10 Orwell Terrace,55.942639,-3.220582,https://www.joininedinburgh.org/stbrides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Catharine's Mercy Centre,Community organisation,,Community owned,,Mercy Centre,"Mercy is as simple as sharing bread, as wide as loving people into wholeness, as challenging as working for global justice.
At our general chapter of 1992, St Catharine’s, which was designated as a Mercy Centre, has grown and developed – a place of hospitality and mercy, a place of outreach for the most broken and needy in our society.","4 Lauriston Gardens, Edinburgh EH3 9HH",55.944341,-3.199211,https://mercycentre.org.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Stockbridge Colonies,Community organisation,,,,Community Hub,,Stockbridge,55.962033,-3.207625,http://stockbridgecolonies.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
The Braidwood Centre,Community organisation,,,,Community Centre,,"69 Dumbiedykes Rd, Edinburgh EH8 9UT",55.948517,-3.177833,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1
